Line Number, Coefficient, Statement Number
253,0.45,209
252,0.45,208
245,0.45,198
244,0.45,197
323,0.428571428571,272
311,0.428571428571,263
308,0.428571428571,260
304,0.428571428571,257
382,0.409090909091,354
379,0.409090909091,353
379,0.409090909091,352
380,0.409090909091,351
380,0.409090909091,350
380,0.409090909091,349
380,0.409090909091,348
380,0.409090909091,347
379,0.409090909091,346
379,0.409090909091,345
378,0.409090909091,344
378,0.409090909091,343
377,0.409090909091,342
354,0.409090909091,341
354,0.409090909091,340
372,0.409090909091,335
371,0.409090909091,334
370,0.409090909091,333
370,0.409090909091,332
370,0.409090909091,331
369,0.409090909091,330
369,0.409090909091,329
369,0.409090909091,328
366,0.409090909091,322
366,0.409090909091,321
366,0.409090909091,320
365,0.409090909091,319
364,0.409090909091,318
364,0.409090909091,317
364,0.409090909091,316
363,0.409090909091,315
363,0.409090909091,314
361,0.409090909091,313
361,0.409090909091,312
360,0.409090909091,311
359,0.409090909091,310
357,0.409090909091,309
357,0.409090909091,308
356,0.409090909091,307
355,0.409090909091,306
354,0.409090909091,305
353,0.409090909091,304
352,0.409090909091,303
351,0.409090909091,302
350,0.409090909091,301
349,0.409090909091,300
349,0.409090909091,299
348,0.409090909091,298
340,0.409090909091,292
340,0.409090909091,291
339,0.409090909091,290
339,0.409090909091,289
338,0.409090909091,287
337,0.409090909091,286
337,0.409090909091,285
336,0.409090909091,284
336,0.409090909091,283
335,0.409090909091,282
334,0.409090909091,281
333,0.409090909091,280
333,0.409090909091,279
333,0.409090909091,278
333,0.409090909091,277
320,0.409090909091,269
302,0.409090909091,255
300,0.409090909091,254
300,0.409090909091,253
299,0.409090909091,252
299,0.409090909091,251
299,0.409090909091,250
299,0.409090909091,249
299,0.409090909091,248
277,0.409090909091,236
276,0.409090909091,235
275,0.409090909091,234
274,0.409090909091,233
274,0.409090909091,232
273,0.409090909091,231
259,0.409090909091,217
258,0.409090909091,216
258,0.409090909091,215
258,0.409090909091,214
242,0.409090909091,199
279,0.375,238
272,0.375,237
272,0.375,230
257,0.375,212
250,0.375,211
251,0.375,207
251,0.375,206
251,0.375,205
250,0.375,204
250,0.375,203
250,0.375,202
249,0.375,201
242,0.375,200
243,0.375,196
243,0.375,195
243,0.375,194
243,0.375,193
242,0.375,192
242,0.375,191
242,0.375,190
241,0.375,189
316,0.36,268
295,0.36,265
238,0.36,187
238,0.36,186
238,0.36,185
345,0.346153846154,297
338,0.346153846154,288
332,0.346153846154,276
329,0.346153846154,275
328,0.346153846154,274
328,0.346153846154,273
295,0.346153846154,267
295,0.346153846154,266
298,0.346153846154,264
298,0.346153846154,247
297,0.346153846154,246
297,0.346153846154,245
296,0.346153846154,244
295,0.346153846154,243
295,0.346153846154,242
293,0.346153846154,241
291,0.346153846154,240
290,0.346153846154,239
374,0.333333333333,339
373,0.333333333333,338
373,0.333333333333,337
373,0.333333333333,336
306,0.210526315789,259
305,0.210526315789,258
250,0.181818181818,210
369,0.0555555555556,327
368,0.0555555555556,326
367,0.0555555555556,325
367,0.0555555555556,324
367,0.0555555555556,323
342,0.0555555555556,296
341,0.0555555555556,295
341,0.0555555555556,294
341,0.0555555555556,293
