Statement Number,Coefficient
354,0.105882352941
353,0.105882352941
352,0.105882352941
351,0.105882352941
350,0.105882352941
349,0.105882352941
348,0.105882352941
347,0.105882352941
346,0.105882352941
345,0.105882352941
344,0.105882352941
343,0.105882352941
342,0.105882352941
341,0.105882352941
340,0.105882352941
335,0.105882352941
334,0.105882352941
333,0.105882352941
332,0.105882352941
331,0.105882352941
330,0.105882352941
329,0.105882352941
328,0.105882352941
322,0.105882352941
321,0.105882352941
320,0.105882352941
319,0.105882352941
318,0.105882352941
317,0.105882352941
316,0.105882352941
315,0.105882352941
314,0.105882352941
313,0.105882352941
312,0.105882352941
311,0.105882352941
310,0.105882352941
309,0.105882352941
308,0.105882352941
307,0.105882352941
306,0.105882352941
305,0.105882352941
304,0.105882352941
303,0.105882352941
302,0.105882352941
301,0.105882352941
300,0.105882352941
299,0.105882352941
298,0.105882352941
297,0.105882352941
292,0.105882352941
291,0.105882352941
290,0.105882352941
289,0.105882352941
288,0.105882352941
287,0.105882352941
286,0.105882352941
285,0.105882352941
284,0.105882352941
283,0.105882352941
282,0.105882352941
281,0.105882352941
280,0.105882352941
279,0.105882352941
278,0.105882352941
277,0.105882352941
276,0.105882352941
275,0.105882352941
274,0.105882352941
273,0.105882352941
272,0.105882352941
269,0.105882352941
268,0.105882352941
267,0.105882352941
266,0.105882352941
265,0.105882352941
264,0.105882352941
263,0.105882352941
260,0.105882352941
257,0.105882352941
255,0.105882352941
254,0.105882352941
253,0.105882352941
252,0.105882352941
251,0.105882352941
250,0.105882352941
249,0.105882352941
248,0.105882352941
247,0.105882352941
246,0.105882352941
245,0.105882352941
244,0.105882352941
243,0.105882352941
242,0.105882352941
241,0.105882352941
240,0.105882352941
239,0.105882352941
339,0.0549019607843
338,0.0549019607843
337,0.0549019607843
336,0.0549019607843
259,0.0549019607843
258,0.0549019607843
327,0.0196078431373
326,0.0196078431373
325,0.0196078431373
324,0.0196078431373
323,0.0196078431373
296,0.0117647058824
295,0.0117647058824
294,0.0117647058824
293,0.0117647058824
238,0.00392156862745
237,0.00392156862745
236,0.00392156862745
235,0.00392156862745
234,0.00392156862745
233,0.00392156862745
232,0.00392156862745
231,0.00392156862745
230,0.00392156862745
217,0.00392156862745
216,0.00392156862745
215,0.00392156862745
214,0.00392156862745
212,0.00392156862745
211,0.00392156862745
209,0.00392156862745
208,0.00392156862745
207,0.00392156862745
206,0.00392156862745
205,0.00392156862745
204,0.00392156862745
203,0.00392156862745
202,0.00392156862745
201,0.00392156862745
200,0.00392156862745
199,0.00392156862745
198,0.00392156862745
197,0.00392156862745
196,0.00392156862745
195,0.00392156862745
194,0.00392156862745
193,0.00392156862745
192,0.00392156862745
191,0.00392156862745
190,0.00392156862745
189,0.00392156862745
187,0.00392156862745
186,0.00392156862745
185,0.00392156862745
