Line Number, Coefficient, Statement Number
374,1,339
373,1,338
373,1,337
373,1,336
369,1,327
368,1,326
367,1,325
367,1,324
367,1,323
342,1,296
341,1,295
341,1,294
341,1,293
277,0.99604743083,236
276,0.99604743083,235
275,0.99604743083,234
274,0.99604743083,233
274,0.99604743083,232
273,0.99604743083,231
259,0.99604743083,217
258,0.99604743083,216
258,0.99604743083,215
258,0.99604743083,214
242,0.99604743083,199
253,0.996031746032,209
252,0.996031746032,208
245,0.996031746032,198
244,0.996031746032,197
279,0.996,238
272,0.996,237
272,0.996,230
257,0.996,212
250,0.996,211
251,0.996,207
251,0.996,206
251,0.996,205
250,0.996,204
250,0.996,203
250,0.996,202
249,0.996,201
242,0.996,200
243,0.996,196
243,0.996,195
243,0.996,194
243,0.996,193
242,0.996,192
242,0.996,191
242,0.996,190
241,0.996,189
238,0.996,187
238,0.996,186
238,0.996,185
306,0.943548387097,259
305,0.943548387097,258
323,0.887029288703,272
311,0.886554621849,263
308,0.886075949367,260
304,0.886075949367,257
382,0.883116883117,354
379,0.883116883117,353
379,0.883116883117,352
380,0.883116883117,351
380,0.883116883117,350
380,0.883116883117,349
380,0.883116883117,348
380,0.883116883117,347
379,0.883116883117,346
379,0.883116883117,345
378,0.883116883117,344
378,0.883116883117,343
377,0.883116883117,342
354,0.883116883117,341
354,0.883116883117,340
372,0.883116883117,335
371,0.883116883117,334
370,0.883116883117,333
370,0.883116883117,332
370,0.883116883117,331
369,0.883116883117,330
369,0.883116883117,329
369,0.883116883117,328
366,0.883116883117,322
366,0.883116883117,321
366,0.883116883117,320
365,0.883116883117,319
364,0.883116883117,318
364,0.883116883117,317
364,0.883116883117,316
363,0.883116883117,315
363,0.883116883117,314
361,0.883116883117,313
361,0.883116883117,312
360,0.883116883117,311
359,0.883116883117,310
357,0.883116883117,309
357,0.883116883117,308
356,0.883116883117,307
355,0.883116883117,306
354,0.883116883117,305
353,0.883116883117,304
352,0.883116883117,303
351,0.883116883117,302
350,0.883116883117,301
349,0.883116883117,300
349,0.883116883117,299
348,0.883116883117,298
338,0.883116883117,287
337,0.883116883117,286
337,0.883116883117,285
336,0.883116883117,284
336,0.883116883117,283
335,0.883116883117,282
334,0.883116883117,281
333,0.883116883117,280
333,0.883116883117,279
333,0.883116883117,278
333,0.883116883117,277
320,0.883116883117,269
302,0.883116883117,255
300,0.883116883117,254
300,0.883116883117,253
299,0.883116883117,252
299,0.883116883117,251
299,0.883116883117,250
299,0.883116883117,249
299,0.883116883117,248
316,0.881057268722,268
295,0.881057268722,265
340,0.880530973451,292
340,0.880530973451,291
339,0.880530973451,290
339,0.880530973451,289
345,0.877828054299,297
338,0.877828054299,288
332,0.877828054299,276
329,0.877828054299,275
328,0.877828054299,274
328,0.877828054299,273
295,0.877828054299,267
295,0.877828054299,266
298,0.877828054299,264
298,0.877828054299,247
297,0.877828054299,246
297,0.877828054299,245
296,0.877828054299,244
295,0.877828054299,243
295,0.877828054299,242
293,0.877828054299,241
291,0.877828054299,240
290,0.877828054299,239
