Statement Number,Coefficient
339,1
338,1
337,1
336,1
327,1
326,1
325,1
324,1
323,1
296,1
295,1
294,1
293,1
297,0.108870967742
288,0.108870967742
276,0.108870967742
275,0.108870967742
274,0.108870967742
273,0.108870967742
267,0.108870967742
266,0.108870967742
264,0.108870967742
247,0.108870967742
246,0.108870967742
245,0.108870967742
244,0.108870967742
243,0.108870967742
242,0.108870967742
241,0.108870967742
240,0.108870967742
239,0.108870967742
292,0.106719367589
291,0.106719367589
290,0.106719367589
289,0.106719367589
268,0.106299212598
265,0.106299212598
354,0.104651162791
353,0.104651162791
352,0.104651162791
351,0.104651162791
350,0.104651162791
349,0.104651162791
348,0.104651162791
347,0.104651162791
346,0.104651162791
345,0.104651162791
344,0.104651162791
343,0.104651162791
342,0.104651162791
341,0.104651162791
340,0.104651162791
335,0.104651162791
334,0.104651162791
333,0.104651162791
332,0.104651162791
331,0.104651162791
330,0.104651162791
329,0.104651162791
328,0.104651162791
322,0.104651162791
321,0.104651162791
320,0.104651162791
319,0.104651162791
318,0.104651162791
317,0.104651162791
316,0.104651162791
315,0.104651162791
314,0.104651162791
313,0.104651162791
312,0.104651162791
311,0.104651162791
310,0.104651162791
309,0.104651162791
308,0.104651162791
307,0.104651162791
306,0.104651162791
305,0.104651162791
304,0.104651162791
303,0.104651162791
302,0.104651162791
301,0.104651162791
300,0.104651162791
299,0.104651162791
298,0.104651162791
287,0.104651162791
286,0.104651162791
285,0.104651162791
284,0.104651162791
283,0.104651162791
282,0.104651162791
281,0.104651162791
280,0.104651162791
279,0.104651162791
278,0.104651162791
277,0.104651162791
269,0.104651162791
255,0.104651162791
254,0.104651162791
253,0.104651162791
252,0.104651162791
251,0.104651162791
250,0.104651162791
249,0.104651162791
248,0.104651162791
260,0.102272727273
257,0.102272727273
263,0.101886792453
272,0.101503759398
259,0.0534351145038
258,0.0534351145038
238,0.00398406374502
237,0.00398406374502
230,0.00398406374502
212,0.00398406374502
211,0.00398406374502
207,0.00398406374502
206,0.00398406374502
205,0.00398406374502
204,0.00398406374502
203,0.00398406374502
202,0.00398406374502
201,0.00398406374502
200,0.00398406374502
196,0.00398406374502
195,0.00398406374502
194,0.00398406374502
193,0.00398406374502
192,0.00398406374502
191,0.00398406374502
190,0.00398406374502
189,0.00398406374502
187,0.00398406374502
186,0.00398406374502
185,0.00398406374502
209,0.00395256916996
208,0.00395256916996
198,0.00395256916996
197,0.00395256916996
236,0.00393700787402
235,0.00393700787402
234,0.00393700787402
233,0.00393700787402
232,0.00393700787402
231,0.00393700787402
217,0.00393700787402
216,0.00393700787402
215,0.00393700787402
214,0.00393700787402
199,0.00393700787402
