Line number,Fault likelihood
304,0.6708203932499369
308,0.6708203932499369
311,0.6708203932499369
323,0.6708203932499369
299,0.6445033866354896
300,0.6445033866354896
302,0.6445033866354896
320,0.6445033866354896
333,0.6445033866354896
334,0.6445033866354896
335,0.6445033866354896
336,0.6445033866354896
337,0.6445033866354896
339,0.6445033866354896
340,0.6445033866354896
348,0.6445033866354896
349,0.6445033866354896
350,0.6445033866354896
351,0.6445033866354896
352,0.6445033866354896
353,0.6445033866354896
354,0.6445033866354896
355,0.6445033866354896
356,0.6445033866354896
357,0.6445033866354896
359,0.6445033866354896
360,0.6445033866354896
361,0.6445033866354896
363,0.6445033866354896
364,0.6445033866354896
365,0.6445033866354896
366,0.6445033866354896
369,0.6445033866354896
370,0.6445033866354896
371,0.6445033866354896
372,0.6445033866354896
377,0.6445033866354896
378,0.6445033866354896
379,0.6445033866354896
380,0.6445033866354896
382,0.6445033866354896
373,0.6324555320336759
374,0.6324555320336759
244,0.5855400437691199
245,0.5855400437691199
252,0.5855400437691199
253,0.5855400437691199
316,0.5809475019311126
290,0.5636018619766345
291,0.5636018619766345
293,0.5636018619766345
295,0.5636018619766345
296,0.5636018619766345
297,0.5636018619766345
298,0.5636018619766345
328,0.5636018619766345
329,0.5636018619766345
332,0.5636018619766345
338,0.5636018619766345
345,0.5636018619766345
4,0.5270462766947299
258,0.48989794855663565
259,0.48989794855663565
273,0.48989794855663565
274,0.48989794855663565
275,0.48989794855663565
276,0.48989794855663565
277,0.48989794855663565
241,0.46709936649691375
242,0.46709936649691375
243,0.46709936649691375
249,0.46709936649691375
250,0.46709936649691375
251,0.46709936649691375
257,0.46709936649691375
272,0.46709936649691375
279,0.46709936649691375
305,0.46188021535170054
306,0.46188021535170054
238,0.4472135954999579
341,0.2581988897471611
342,0.2581988897471611
367,0.2581988897471611
368,0.2581988897471611
